John Axford,8310,6988,John Axford,Diamond,Free Agents,88,World Baseball Classic,RP,False,,,,88,False,False,CORE,True,2023-04-12 13:45:36.214761
Manny Machado,44000,38655,Manny Machado,Diamond,Padres,88,Live,3B,False,,4.0,1,89,True,True,CORE,True,2023-04-12 13:45:36.214761
Byron Buxton,14332,12265,Byron Buxton,Diamond,Twins,88,Live,CF,False,,1.0,2,86,True,True,CORE,True,2023-04-12 13:45:36.214761
Shane McClanahan,14999,13365,Shane McClanahan,Diamond,Rays,88,Live,SP,False,,,,88,False,True,CORE,True,2023-04-12 13:45:36.214761
Jose Ramirez,17999,16401,Jose Ramirez,Diamond,Guardians,88,Live,3B,False,,5.0,1,90,True,True,CORE,True,2023-04-12 13:45:36.214761
Gerrit Cole,7995,7055,Gerrit Cole,Diamond,Yankees,87,Live,SP,False,,,,87,False,True,CORE,True,2023-04-12 13:45:36.214761
Spencer Strider,10215,9165,Spencer Strider,Diamond,Braves,87,Live,SP,False,,5.0,1,92,True,True,CORE,True,2023-04-12 13:45:36.214761
Jose Altuve,7790,6858,Jose Altuve,Diamond,Astros,87,Live,2B,False,,,,87,False,True,CORE,True,2023-04-12 13:45:36.214761
Trea Turner,18212,16008,Trea Turner,Diamond,Phillies,87,Live,SS,False,,5.0,1,88,True,True,CORE,True,2023-04-12 13:45:36.214761
Bryce Harper,8508,7507,Bryce Harper,Diamond,Phillies,87,Live,RF,False,,,,87,False,True,CORE,True,2023-04-12 13:45:36.214761
J.T. Realmuto,7600,7006,J.T. Realmuto,Diamond,Phillies,87,Live,C,False,,5.0,1,88,True,True,CORE,True,2023-04-12 13:45:36.214761
Lefty Grove,4996,0,Lefty Grove,Diamond,Red Sox,87,Veteran,SP,False,,,,87,False,False,CORE,True,2023-04-12 13:45:36.214761
Nick Castellanos,3900,0,Nick Castellanos,Diamond,Reds,86,All-Star,RF,False,,,,86,False,False,CORE,True,2023-04-12 13:45:36.214761
Freddie Freeman,8398,7205,Freddie Freeman,Diamond,Dodgers,86,Live,1B,False,,5.0,1,89,True,True,CORE,True,2023-04-12 13:45:36.214761
Carlos Rodon,5097,4330,Carlos Rodon,Diamond,Yankees,86,Live,SP,False,,,,86,False,True,CORE,True,2023-04-12 13:45:36.214761
Ronald Acuna Jr.,19800,17213,Ronald Acuna Jr.,Diamond,Braves,86,Live,RF,False,,5.0,1,89,True,True,CORE,True,2023-04-12 13:45:36.214761
Derek Jeter,4190,0,Derek Jeter,Diamond,Yankees,86,Postseason,SS,False,,,,86,False,False,CORE,True,2023-04-12 13:45:36.214761
Yordan Alvarez,11949,10321,Yordan Alvarez,Diamond,Astros,86,Live,LF,False,,5.0,1,87,True,True,CORE,True,2023-04-12 13:45:36.214761
Kyle Tucker,7139,6029,Kyle Tucker,Diamond,Astros,86,Live,RF,False,,5.0,1,87,True,True,CORE,True,2023-04-12 13:45:36.214761
Randy Johnson,14998,12652,Randy Johnson,Diamond,Yankees,86,Veteran,SP,False,,,,86,False,False,CORE,True,2023-04-12 13:45:36.214761
Ryan Helsley,8551,7257,Ryan Helsley,Diamond,Cardinals,86,Live,CP,False,,5.0,1,89,True,True,CORE,True,2023-04-12 13:45:36.214761
Clayton Kershaw,5207,4503,Clayton Kershaw,Diamond,Dodgers,85,Live,SP,False,,5.0,1,88,True,True,CORE,True,2023-04-12 13:45:36.214761
Walker Buehler,3200,0,Walker Buehler,Diamond,Dodgers,85,All-Star,SP,False,,,,85,False,False,CORE,True,2023-04-12 13:45:36.214761
Francisco Lindor,5211,4379,Francisco Lindor,Diamond,Mets,85,Live,SS,False,,1.0,2,83,True,True,CORE,True,2023-04-12 13:45:36.214761
Zack Wheeler,6370,5597,Zack Wheeler,Diamond,Phillies,85,Live,SP,False,,5.0,1,90,True,True,CORE,True,2023-04-12 13:45:36.214761
Aaron Nola,5099,4516,Aaron Nola,Diamond,Phillies,85,Live,SP,False,,,,85,False,True,CORE,True,2023-04-12 13:45:36.214761
Max Fried,5869,5255,Max Fried,Diamond,Braves,85,Live,SP,False,,,,85,False,True,CORE,True,2023-04-12 13:45:36.214761
Austin Riley,9465,8450,Austin Riley,Diamond,Braves,85,Live,3B,False,,5.0,1,87,True,True,CORE,True,2023-04-12 13:45:36.214761
Michael Harris II,7080,6052,Michael Harris II,Diamond,Braves,85,Live,CF,False,,,,85,False,True,CORE,True,2023-04-12 13:45:36.214761
Sandy Alcantara,10600,9862,Sandy Alcantara,Diamond,Marlins,85,Live,SP,False,,,,85,False,True,CORE,True,2023-04-12 13:45:36.214761
Jazz Chisholm Jr.,11200,9588,Jazz Chisholm Jr.,Diamond,Marlins,85,Live,CF,False,,4.0,3,85,False,True,CORE,True,2023-04-12 13:45:36.214761
Dylan Cease,12185,10300,Dylan Cease,Diamond,White Sox,85,Live,SP,False,,,,85,False,True,CORE,True,2023-04-12 13:45:36.214761
Emmanuel Clase,15774,14602,Emmanuel Clase,Diamond,Guardians,85,Live,CP,False,,5.0,1,89,True,True,CORE,True,2023-04-12 13:45:36.214761
Julio Rodriguez,15000,13021,Julio Rodriguez,Diamond,Mariners,85,Live,CF,False,,5.0,1,87,True,True,CORE,True,2023-04-12 13:45:36.214761
Ernie Banks,1748,0,Ernie Banks,Gold,Cubs,84,Veteran,1B,False,,,,84,False,False,CORE,True,2023-04-12 13:45:36.214761
Evan Phillips,1705,1501,Evan Phillips,Gold,Dodgers,84,Live,CP,False,,5.0,1,87,True,True,CORE,True,2023-04-12 13:45:36.214761
Will Smith,2554,2156,Will Smith,Gold,Dodgers,84,Live,C,False,,5.0,1,85,True,True,CORE,True,2023-04-12 13:45:36.214761
Yu Darvish,1711,1500,Yu Darvish,Gold,Padres,84,Live,SP,False,,,,84,False,True,CORE,True,2023-04-12 13:45:36.214761
Josh Hader,2440,2115,Josh Hader,Gold,Padres,84,Live,CP,False,,2.0,2,83,True,True,CORE,True,2023-04-12 13:45:36.214761
Brandon Woodruff,1862,1554,Brandon Woodruff,Gold,Brewers,84,Live,SP,False,,,,84,False,True,CORE,True,2023-04-12 13:45:36.214761
